Year,Brunei,Cambodia,Indonesia,Laos,Malaysia,Myanmar,Philippines,Singapore,Thailand,Vietnam
1990,7.5,2.7,3.3,3.1,6.5,2.4,6.6,5.8,4.6,3.9
1995,8.1,3.0,4.2,3.6,7.6,2.7,7.1,7.3,5.0,4.6
2000,8.3,3.2,6.7,3.9,8.6,3.1,7.6,8.9,6.1,5.4
2005,8.5,3.5,7.4,4.2,7.6,3.5,7.9,8.5,6.7,6.4
2010,8.8,4.4,7.4,4.6,10.0,4.1,8.2,10.2,7.3,7.5
2011,8.8,4.4,7.5,4.8,10.0,4.1,8.4,10.3,7.3,7.5
2012,8.8,4.4,7.6,5.0,10.0,4.1,8.5,10.4,7.3,7.5
2013,8.8,4.4,7.6,5.0,10.0,4.1,8.7,10.4,7.3,7.5
2014,8.8,4.4,7.6,5.0,10.0,4.1,8.9,10.6,7.3,7.5
