Year,Brunei,Cambodia,Indonesia,Laos,Malaysia,Myanmar,Philippines,Singapore,Thailand,Vietnam
1990,77076.4,939.5,4337.1,1622.2,9771.5,738.1,3962.0,33948.8,6263.4,1410.5
1995,78405.8,1074.7,5929.6,1901.5,13438.7,909.5,4110.5,45186.7,9050.7,2019.8
2000,74475.0,1326.8,5307.9,2231.3,14500.3,1240.0,4994.2,51309.3,8770.8,2615.2
2005,74441.1,1871.8,6546.8,2860.0,17157.0,2192.8,6058.2,57583.3,10387.0,3422.1
2010,70979.5,2389.8,8266.5,3646.5,19725.4,3602.8,7478.0,71599.2,12269.9,4314.1
2011,72340.6,2539.0,8642.1,3837.4,20576.4,3766.9,6852.6,73239.4,12340.9,4513.7
2012,72012.3,2676.1,9059.9,4096.4,21074.0,4014.9,7165.6,73461.3,13055.7,4709.0
2013,69811.7,2812.3,9446.3,4401.7,21812.0,4283.4,7597.9,75400.2,13050.1,4905.7
2014,72570.1,2948.9,9788.4,4680.1,22762.1,4607.7,7915.2,76628.2,13322.9,5091.8
