County,China_National_Party,Democratic_Progressive_Party,Other,Blue_Vote,Green_Vote,English_Name
台北市,37.49,51.96,10.55,546491,757383,Taipei City
新北市,33.34,54.79,11.87,709374,1165888,New Taipei City
基隆市,35.29,48.22,16.49,68657,934002,Keelung City
宜蘭縣,25.38,62.06,12.56,59216,144798,Yilan County
桃園市,34.39,51.03,14.58,369013,547573,Taoyuan City
新竹縣,35.28,42.52,22.2,94603,114023,Hsinchu County
新竹市,32.42,51.22,16.35,71771,113386,Hsinchu City
苗栗縣,37.55,45.45,17,107779,130461,Miaoli County
台中市,29.82,55.01,15.17,430005,793281,Taichung City
彰化縣,28.8,56.47,14.73,193117,378736,Changhua County
南投縣,32.08,52.23,15.69,83604,136104,Nantou County
雲林縣,24.93,63.41,11.66,86047,218842,Yunlin County
嘉義縣,23.38,65.37,11.25,65425,182913,Chiayi County
嘉義市,27.95,59.86,12.19,38822,83143,Chiayi City
台南市,22.07,67.52,10.41,219196,670608,Tainan City
高雄市,26,63.39,10.61,391823,955168,Kaohsiung City
屏東縣,26.99,63.49,9.52,121291,285297,Pingtung County
台東縣,47.72,36.94,16.96,43581,37517,Hualian County
花蓮縣,44.62,38.42,15.34,73894,57198,Taitung County
澎湖縣,29.48,50.81,19.71,12564,21658,Penghu County
金門縣,66.1,18,15.9,24327,6626,Kinmen County
連江縣,68.6,16.54,14.86,3065,739,Lienchiang County
