County,China_National_Party,Democratic_Progressive_Party,Other,Blue_Vote,Green_Vote,English_Name
台北市,56.53,43.47,n,897870,690379,Taipei City
新北市,53.06,46.94,n,1130615,1000265,New Taipei City
基隆市,59.44,40.56,n,132289,90276,Keelung City
宜蘭縣,42.39,57.71,n,108361,147848,Yilan County
桃園市,55.32,44.68,n,555688,448770,Taoyuan City
新竹縣,64.07,35.93,n,165027,92576,Hsinchu County
新竹市,55.12,44.88,n,118924,96818,Hsinchu City
苗栗縣,60.76,39.24,n,191059,123427,Miaoli County
台中市,52.66,47.34,n,297098,267095,Taichung City
彰化縣,47.74,52.26,n,350128,383296,Changhua County
南投縣,51.25,48.75,n,153913,146415,Nantou County
雲林縣,39.68,60.32,n,159906,243129,Yunlin County
嘉義縣,37.21,62.79,n,118189,199466,Chiayi County
嘉義市,43.94,56.06,n,67176,85702,Chiayi City
台南市,42.23,57.77,n,183786,251397,Tainan City
高雄市,44.37,55.64,n,398769,500304,Kaohsiung City
屏東縣,41.89,58.11,n,215796,299321,Pingtung County
花蓮縣,70.21,29.79,n,126041,53501,Hualian County
台東縣,65.32,34.48,n,76382,40203,Taitung County
澎湖縣,50.53,49.47,n,22639,22162,Penghu County
金門縣,93.54,6.45,n,26433,1701,Kinmen County
連江縣,94.24,5.76,n,4060,248,Lienchiang County
