County,China_National_Party,Democratic_Progressive_Party,Other,Blue_Vote,Green_Vote,English_Name
台北市,57.87,39.54,2.58,928717,634565,Taipei City
新北市,53.73,43.46,2.81,1245673,1007551,New Taipei City
基隆市,59.29,36.77,3.94,128294,79562,Keelung City
宜蘭縣,44.89,52.53,2.58,115496,135156,Yilan County
桃園市,57.2,39.85,2.95,639151,445308,Taoyuan City
新竹縣,65.76,30.93,3.31,190797,89741,Hsinchu County
新竹市,57.43,39.49,3.08,134728,92632,Hsinchu City
苗栗縣,63.85,33.18,2.97,206200,107164,Miaoli County
台中市,52.16,44.68,3.16,792334,678736,Taichung City
彰化縣,50.58,46.49,2.93,369968,340069,Changhua County
南投縣,54.63,42.37,3,158703,123077,Nantou County
雲林縣,41.67,55.81,2.51,159891,214141,Yunlin County
嘉義縣,39.04,58.58,2.38,120946,181463,Chiayi County
嘉義市,46.27,51.04,2.69,69535,76711,Chiayi City
台南市,39.8,57.72,2.48,435274,631232,Tainan City
高雄市,44.19,53.42,2.39,730461,883158,Kaohsiung City
屏東縣,42.93,55.13,1.94,211571,271722,Pingtung County
花蓮縣,70.3,25.94,3.02,72823,33417,Hualian County
台東縣,66.47,30.5,3.76,118815,43845,Taitung County
澎湖縣,49.75,45.65,4.58,22579,20717,Penghu County
金門縣,89.23,8.21,2.54,34676,3193,Kinmen County
連江縣,86.6,8.03,5.36,4507,418,Lienchiang County
