LVA,Latvia,N/A,N/A,N/A,N/A,N/A
LBN,Lebanon,N/A,N/A,N/A,N/A,N/A
LSO,Lesotho,N/A,161,578.2,479.7,417.9
LBR,Liberia,N/A,N/A,N/A,N/A,N/A
LBY,Libya,N/A,N/A,N/A,N/A,N/A
LTU,Lithuania,N/A,N/A,N/A,N/A,N/A
LUX,Luxembourg,N/A,N/A,N/A,N/A,N/A
MDG,Madagascar,10.9,308.6,350.2,304,381.1
MWI,Malawi,N/A,N/A,N/A,N/A,N/A
MYS,Malaysia,1315.1,2256.5,4567.5,4559.9,4585.7
MDV,Maldives,N/A,N/A,N/A,N/A,N/A
MLI,Mali,N/A,N/A,N/A,N/A,N/A
MLT,Malta,N/A,N/A,N/A,N/A,N/A
MRT,Mauritania,N/A,N/A,N/A,N/A,N/A
MUS,Mauritius,607.1,947.6,893.2,821,761.3
MEX,Mexico,587,8630.8,4637.6,4448.9,4530
MNG,Mongolia,N/A,N/A,N/A,N/A,N/A
MAR,Morocco,722.4,2401.4,3273.9,3224.9,3122.4
MOZ,Mozambique,N/A,N/A,N/A,N/A,N/A
MMR,Myanmar,12.445,800,943.3,345.8,437.6
NAM,Namibia,N/A,N/A,N/A,N/A,N/A
NPL,Nepal,N/A,N/A,N/A,N/A,N/A
NLD,Netherlands,N/A,N/A,N/A,N/A,N/A
NZL,New Zealand,66.9,116.4,206.5,187.1,225.1
NIC,Nicaragua,N/A,N/A,N/A,N/A,N/A
NER,Niger,N/A,N/A,N/A,N/A,N/A
NGA,Nigeria,N/A,N/A,N/A,N/A,N/A
NOR,Norway,N/A,N/A,N/A,N/A,N/A
PSE,Occupied Palestinian Territory,N/A,N/A,N/A,N/A,N/A
OMN,Oman,N/A,N/A,N/A,N/A,N/A
PAK,Pakistan,1013.5,2144.2,4549.6,4213.9,4548.9
PAN,Panama,N/A,N/A,N/A,N/A,N/A
PNG,Papua New Guinea,N/A,N/A,N/A,N/A,N/A
PRY,Paraguay,N/A,N/A,N/A,N/A,N/A
PER,Peru,120.2,504,1524.7,1619.1,1391.9
PHL,Philippines,1733,2536.5,1402.2,1611.6,1557.8
POL,Poland,N/A,N/A,N/A,N/A,N/A
PRT,Portugal,N/A,N/A,N/A,N/A,N/A
PRI,Puerto Rico,2907,N/A,N/A,N/A,N/A,N/A
QAT,Qatar,N/A,N/A,N/A,N/A,N/A
KOR,Republic of Korea,N/A,N/A,N/A,N/A,N/A
MDA,Republic of Moldova,N/A,N/A,N/A,N/A,N/A
