team,color1,color2,passing,rushing,points,sacks,ints,fumbles
Arizona Cardinals,9B2743,black,4437,1138,311,37,15,11
Atlanta Falcons,BD0D18,black,2679,2546,351,37,16,13
Baltimore Ravens,purple,black,3088,1605,265,42,11,15
Buffalo Bills,00338D,C60C30,2515,1607,271,38,17,13
Carolina Panthers,black,0088CE,3271,1679,391,45,23,19
Chicago Bears,03202F,DD4814,2002,2099,260,41,24,10
Cincinnati Bengals,FB4F14,black,3820,1910,421,28,31,13
Cleveland Browns,FE3C00,26201E,3047,1503,232,23,15,8
Dallas Cowboys,0D254C,C5CED6,3341,1861,325,37,15,11
Denver Broncos,FB4F14,002244,3227,2539,395,28,20,16
Detroit Lions,006DB0,white,2848,1471,254,31,19,12
Green Bay Packers,203731,FFB612,3766,1352,298,35,10,11
Houston Texans,02253A,B31B34,2237,1816,260,37,7,9
Indianapolis Colts,white,003B7B,4096,1703,439,46,18,13
Jacksonville Jaguars,black,006778,3190,1959,361,47,19,9
Kansas City Chiefs,B20032,F2C800,3810,2382,403,29,16,15
Miami Dolphins,008D97,F5811F,3300,1898,318,49,14,17
Minnesota Vikings,3B0160,F0BF00,3146,1467,306,34,24,11
New England Patriots,0D254C,D6D6D6,4120,1512,379,33,10,8
New Orleans Saints,black,D2B887,3343,1688,235,25,10,9
New York Giants,192F45,white,3578,2209,422,41,17,19
New York Jets,0C371D,white,2642,1328,240,30,21,7
Oakland Raiders,black,C4C8CB,3582,1369,290,36,5,14
Philadelphia Eagles,003B48,white,3677,1432,310,29,17,10
Pittsburgh Steelers,black,FFB612,2926,2223,389,47,15,15
Saint Louis Rams,13264B,C9AF74,4036,1535,363,41,13,14
San Diego Chargers,0C2340,FFB81C,3495,2072,418,46,10,10
San Francisco 49ers,AF1E2C,E6BE8A,1898,1689,239,28,16,10
Seattle Seahawks,002244,69BE28,3458,2457,452,50,16,11
Tampa Bay Buccaneers,D60A0B,89765F,2890,1826,300,36,17,13
Tennessee Titans,0D254C,648FCC,3597,1525,299,41,9,11
Washington Redskins,773141,FFB612,3106,2183,359,35,16,12
