team,color1,color2,passing,rushing,points,sacks,ints,fumbles
Arizona Cardinals,9B2743,black,4065,1440,404,36,18,11
Atlanta Falcons,BD0D18,black,3293,1520,259,25,16,11
Baltimore Ravens,purple,black,3035,1797,275,32,17,6
Buffalo Bills,00338D,C60C30,2534,1800,252,26,18,12
Carolina Panthers,black,0088CE,2735,1824,267,23,14,16
Chicago Bears,03202F,DD4814,3362,1330,334,41,16,17
Cincinnati Bengals,FB4F14,black,4012,1556,380,22,19,15
Cleveland Browns,FE3C00,26201E,3726,1895,402,28,17,10
Dallas Cowboys,0D254C,C5CED6,4105,1746,455,46,19,10
Denver Broncos,FB4F14,002244,3584,1957,320,33,14,15
Detroit Lions,006DB0,white,3878,1288,346,37,17,18
Green Bay Packers,203731,FFB612,4334,1597,435,36,19,9
Houston Texans,02253A,B31B34,3751,1586,379,31,11,14
Indianapolis Colts,white,003B7B,4033,1706,450,28,22,15
Jacksonville Jaguars,black,006778,3328,2391,411,37,20,9
Kansas City Chiefs,B20032,F2C800,3181,1248,226,37,14,8
Miami Dolphins,008D97,F5811F,3031,1569,267,30,14,8
Minnesota Vikings,3B0160,F0BF00,2745,2634,365,38,15,16
New England Patriots,0D254C,D6D6D6,4731,1849,589,47,19,12
New Orleans Saints,black,D2B887,4314,1466,379,32,13,10
New York Giants,192F45,white,3154,2148,373,53,15,10
New York Jets,0C371D,white,3014,1701,268,29,15,6
Oakland Raiders,black,C4C8CB,2631,2086,283,27,18,8
Philadelphia Eagles,003B48,white,3755,1974,336,37,11,8
Pittsburgh Steelers,black,FFB612,3071,2168,393,36,11,14
Saint Louis Rams,13264B,C9AF74,3233,1527,263,31,18,9
San Diego Chargers,0C2340,FFB81C,3005,2039,412,42,30,18
San Francisco 49ers,AF1E2C,E6BE8A,2320,1477,219,31,12,9
Seattle Seahawks,002244,69BE28,3964,1619,393,45,20,14
Tampa Bay Buccaneers,D60A0B,89765F,3357,1872,334,33,16,19
Tennessee Titans,0D254C,648FCC,2878,2109,301,40,22,12
Washington Redskins,773141,FFB612,3463,1871,334,33,14,10
