team,color1,color2,passing,rushing,points,sacks,ints,fumbles
Arizona Cardinals,9B2743,black,2882,1668,284,38,15,15
Atlanta Falcons,BD0D18,black,2412,2672,340,48,19,13
Baltimore Ravens,purple,black,2312,2063,317,39,21,13
Buffalo Bills,00338D,C60C30,2817,1874,395,45,24,15
Carolina Panthers,black,0088CE,3643,1582,355,34,26,12
Chicago Bears,03202F,DD4814,2192,1624,231,35,17,12
Cincinnati Bengals,FB4F14,black,3301,1839,374,37,20,16
Cleveland Browns,FE3C00,26201E,2824,1657,276,32,15,13
Dallas Cowboys,0D254C,C5CED6,3428,1769,293,33,13,9
Denver Broncos,FB4F14,002244,3999,2333,381,38,12,8
Detroit Lions,006DB0,white,2916,1777,296,38,14,10
Green Bay Packers,203731,FFB612,4449,1908,424,40,8,7
Houston Texans,02253A,B31B34,3246,1882,309,24,22,8
Indianapolis Colts,white,003B7B,4623,1852,522,45,19,17
Jacksonville Jaguars,black,006778,3159,1850,261,37,16,11
Kansas City Chiefs,B20032,F2C800,4406,2289,483,41,13,7
Miami Dolphins,008D97,F5811F,3065,1339,275,36,15,10
Minnesota Vikings,3B0160,F0BF00,4516,1823,405,39,11,11
New England Patriots,0D254C,D6D6D6,3588,2134,437,45,20,16
New Orleans Saints,black,D2B887,3587,1606,348,37,13,20
New York Giants,192F45,white,2818,1904,303,40,14,14
New York Jets,0C371D,white,3050,2388,333,37,19,14
Oakland Raiders,black,C4C8CB,3858,1295,320,25,9,9
Philadelphia Eagles,003B48,white,3979,1639,386,47,17,11
Pittsburgh Steelers,black,FFB612,2720,2464,372,41,19,13
Saint Louis Rams,13264B,C9AF74,4253,1624,319,34,6,9
San Diego Chargers,0C2340,FFB81C,3357,2185,446,29,23,10
San Francisco 49ers,AF1E2C,E6BE8A,3136,1449,259,29,9,12
Seattle Seahawks,002244,69BE28,3539,2095,371,36,23,12
Tampa Bay Buccaneers,D60A0B,89765F,3474,1489,301,45,16,11
Tennessee Titans,0D254C,648FCC,3616,1871,344,32,18,12
Washington Redskins,773141,FFB612,2632,1765,240,40,18,8
