team,color1,color2,passing,rushing,points,sacks,ints,fumbles
Arizona Cardinals,9B2743,black,2959,1531,225,21,13,10
Atlanta Falcons,BD0D18,black,2408,1949,299,36,15,16
Baltimore Ravens,purple,black,2255,2674,391,47,24,17
Buffalo Bills,00338D,C60C30,2684,1664,243,38,10,8
Carolina Panthers,black,0088CE,3050,2091,325,40,16,10
Chicago Bears,03202F,DD4814,2617,1763,283,18,15,5
Cincinnati Bengals,FB4F14,black,3342,1987,346,30,14,10
Cleveland Browns,FE3C00,26201E,2834,1670,254,35,15,7
Dallas Cowboys,0D254C,C5CED6,3162,1999,289,32,13,12
Denver Broncos,FB4F14,002244,2969,2629,381,36,9,11
Detroit Lions,006DB0,white,2924,1338,270,28,15,13
Green Bay Packers,203731,FFB612,3240,2558,442,34,21,11
Houston Texans,02253A,B31B34,2655,1651,255,19,14,8
Indianapolis Colts,white,003B7B,4179,1695,447,31,15,15
Jacksonville Jaguars,black,006778,3285,2073,276,24,15,12
Kansas City Chiefs,B20032,F2C800,3981,1929,484,36,25,12
Miami Dolphins,008D97,F5811F,2792,1817,311,44,22,14
Minnesota Vikings,3B0160,F0BF00,3951,2343,416,27,28,7
New England Patriots,0D254C,D6D6D6,3432,1607,348,41,5,12
New Orleans Saints,black,D2B887,3438,2000,340,32,14,13
New York Giants,192F45,white,3383,1559,243,45,10,12
New York Jets,0C371D,white,3316,1635,283,35,11,9
Oakland Raiders,black,C4C8CB,2751,1822,270,25,14,11
Philadelphia Eagles,003B48,white,3020,2015,374,38,13,13
Pittsburgh Steelers,black,FFB612,3304,1488,300,35,14,11
Saint Louis Rams,13264B,C9AF74,3961,1496,447,42,24,22
San Diego Chargers,0C2340,FFB81C,3021,2146,313,30,13,7
San Francisco 49ers,AF1E2C,E6BE8A,3408,2279,384,42,23,13
Seattle Seahawks,002244,69BE28,3618,2009,404,40,16,12
Tampa Bay Buccaneers,D60A0B,89765F,3805,1648,301,36,20,13
Tennessee Titans,0D254C,648FCC,3878,1623,435,38,21,13
Washington Redskins,773141,FFB612,3006,1653,287,27,17,13
