team,color1,color2,passing,rushing,points,sacks,ints,fumbles
Arizona Cardinals,9B2743,black,4616,1917,489,36,19,31
Atlanta Falcons,BD0D18,black,4379,1606,339,19,15,15
Baltimore Ravens,purple,black,4271,1478,328,37,6,18
Buffalo Bills,00338D,C60C30,3343,2432,379,21,17,16
Carolina Panthers,black,0088CE,3589,2282,500,44,24,28
Chicago Bears,03202F,DD4814,3663,1854,335,35,8,18
Cincinnati Bengals,FB4F14,black,3923,1805,419,42,21,11
Cleveland Browns,FE3C00,26201E,3782,1529,278,29,11,18
Dallas Cowboys,0D254C,C5CED6,3471,1890,275,31,8,12
Denver Broncos,FB4F14,002244,3970,1718,355,52,14,27
Detroit Lions,006DB0,white,4212,1335,358,43,9,24
Green Bay Packers,203731,FFB612,3503,1850,368,43,16,19
Houston Texans,02253A,B31B34,3833,1731,339,45,14,20
Indianapolis Colts,white,003B7B,3704,1438,333,35,17,20
Jacksonville Jaguars,black,006778,4108,1473,376,36,9,16
Kansas City Chiefs,B20032,F2C800,3255,2044,405,47,22,19
Miami Dolphins,008D97,F5811F,3811,1496,310,31,13,12
Minnesota Vikings,3B0160,F0BF00,2928,2211,365,43,13,18
New England Patriots,0D254C,D6D6D6,4587,1404,465,49,12,28
New Orleans Saints,black,D2B887,4970,1491,408,31,9,29
New York Giants,192F45,white,4343,1609,420,23,15,28
New York Jets,0C371D,white,4057,1868,387,39,18,22
Oakland Raiders,black,C4C8CB,3879,1457,359,38,14,18
Philadelphia Eagles,003B48,white,4087,1743,377,37,15,23
Pittsburgh Steelers,black,FFB612,4603,1724,423,48,17,27
Saint Louis Rams,13264B,C9AF74,2805,1956,280,41,13,28
San Diego Chargers,0C2340,FFB81C,4591,1358,320,32,11,14
San Francisco 49ers,AF1E2C,E6BE8A,3316,1544,238,28,9,10
Seattle Seahawks,002244,69BE28,3790,2268,423,37,14,22
Tampa Bay Buccaneers,D60A0B,89765F,3852,2162,342,38,11,24
Tennessee Titans,0D254C,648FCC,3503,1485,299,39,11,16
Washington Redskins,773141,FFB612,4095,1566,388,38,11,36
