team,color1,color2,passing,rushing,points,sacks,ints,fumbles
Arizona Cardinals,9B2743,black,4016,1494,375,43,21,8
Atlanta Falcons,BD0D18,black,3571,1876,363,28,15,13
Baltimore Ravens,purple,black,3419,2200,391,32,22,10
Buffalo Bills,00338D,C60C30,2515,1867,258,32,28,5
Carolina Panthers,black,0088CE,2799,2498,315,31,22,15
Chicago Bears,03202F,DD4814,3473,1492,327,35,13,15
Cincinnati Bengals,FB4F14,black,2890,2056,305,34,16,9
Cleveland Browns,FE3C00,26201E,2076,2087,245,40,10,9
Dallas Cowboys,0D254C,C5CED6,4287,2103,361,42,11,10
Denver Broncos,FB4F14,002244,3627,1836,326,39,17,13
Detroit Lions,006DB0,white,3168,1616,262,26,9,13
Green Bay Packers,203731,FFB612,4180,1885,461,37,30,10
Houston Texans,02253A,B31B34,4654,1475,388,30,14,13
Indianapolis Colts,white,003B7B,4515,1294,416,34,16,9
Jacksonville Jaguars,black,006778,3356,2029,290,14,15,10
Kansas City Chiefs,B20032,F2C800,2922,1929,294,22,15,13
Miami Dolphins,008D97,F5811F,3170,2231,360,44,15,6
Minnesota Vikings,3B0160,F0BF00,4156,1918,470,48,11,13
New England Patriots,0D254C,D6D6D6,4436,1921,427,31,18,10
New Orleans Saints,black,D2B887,4355,2106,510,35,26,13
New York Giants,192F45,white,4019,1837,402,32,13,11
New York Jets,0C371D,white,2380,2756,348,32,17,14
Oakland Raiders,black,C4C8CB,2557,1701,197,37,8,12
Philadelphia Eagles,003B48,white,4089,1637,429,44,25,13
Pittsburgh Steelers,black,FFB612,4148,1793,368,47,12,10
Saint Louis Rams,13264B,C9AF74,2686,1784,175,25,8,11
San Diego Chargers,0C2340,FFB81C,4338,1423,454,35,14,10
San Francisco 49ers,AF1E2C,E6BE8A,3052,1600,330,44,18,15
Seattle Seahawks,002244,69BE28,3503,1566,280,28,13,10
Tampa Bay Buccaneers,D60A0B,89765F,2973,1627,244,28,19,10
Tennessee Titans,0D254C,648FCC,3031,2592,354,32,20,7
Washington Redskins,773141,FFB612,3490,1510,266,40,11,6
