team,color1,color2,passing,rushing,points,sacks,ints,fumbles
Arizona Cardinals,9B2743,black,3662,1338,314,38,16,17
Atlanta Falcons,BD0D18,black,2371,2939,292,37,12,14
Baltimore Ravens,purple,black,3435,1637,353,60,28,12
Buffalo Bills,00338D,C60C30,2719,1552,300,40,13,11
Carolina Panthers,black,0088CE,3264,1659,270,41,14,8
Chicago Bears,03202F,DD4814,3281,1918,427,40,24,20
Cincinnati Bengals,FB4F14,black,3833,1629,373,35,19,12
Cleveland Browns,FE3C00,26201E,2898,1335,238,28,18,9
Dallas Cowboys,0D254C,C5CED6,3836,1936,425,34,18,13
Denver Broncos,FB4F14,002244,2799,2152,319,35,17,13
Detroit Lions,006DB0,white,3820,1129,305,30,12,18
Green Bay Packers,203731,FFB612,3795,1663,301,46,23,10
Houston Texans,02253A,B31B34,2778,1685,267,28,11,11
Indianapolis Colts,white,003B7B,4308,1762,427,25,15,11
Jacksonville Jaguars,black,006778,2882,2541,371,35,20,4
Kansas City Chiefs,B20032,F2C800,3000,2143,331,32,15,15
Miami Dolphins,008D97,F5811F,3287,1673,260,47,8,19
Minnesota Vikings,3B0160,F0BF00,3123,1820,282,30,21,15
New England Patriots,0D254C,D6D6D6,3400,1969,385,44,22,13
New Orleans Saints,black,D2B887,4503,1761,413,38,11,8
New York Giants,192F45,white,3058,2156,355,32,17,11
New York Jets,0C371D,white,3153,1738,316,35,16,9
Oakland Raiders,black,C4C8CB,2420,1519,168,34,18,5
Philadelphia Eagles,003B48,white,4119,1984,398,40,19,10
Pittsburgh Steelers,black,FFB612,3733,1992,353,39,20,9
Saint Louis Rams,13264B,C9AF74,3962,1805,367,34,17,15
San Diego Chargers,0C2340,FFB81C,3262,2578,492,61,16,12
San Francisco 49ers,AF1E2C,E6BE8A,2685,2172,298,34,13,14
Seattle Seahawks,002244,69BE28,3054,1923,335,41,12,14
Tampa Bay Buccaneers,D60A0B,89765F,2789,1523,211,25,11,9
Tennessee Titans,0D254C,648FCC,2596,2214,324,26,17,11
Washington Redskins,773141,FFB612,3027,2216,307,19,6,6
