team,color1,color2,passing,rushing,points,sacks,ints,fumbles
Arizona Cardinals,9B2743,black,4674,1178,427,31,13,17
Atlanta Falcons,BD0D18,black,3336,2443,391,34,10,8
Baltimore Ravens,purple,black,2808,2376,385,34,26,8
Buffalo Bills,00338D,C60C30,3040,1842,336,24,10,12
Carolina Panthers,black,0088CE,3158,2437,414,37,12,13
Chicago Bears,03202F,DD4814,3061,1673,375,28,22,10
Cincinnati Bengals,FB4F14,black,2406,1520,204,17,12,12
Cleveland Browns,FE3C00,26201E,2380,1605,232,17,23,8
Dallas Cowboys,0D254C,C5CED6,3789,1723,362,59,8,14
Denver Broncos,FB4F14,002244,4471,1862,370,26,6,7
Detroit Lions,006DB0,white,2960,1332,268,30,4,16
Green Bay Packers,203731,FFB612,3813,1805,419,27,22,6
Houston Texans,02253A,B31B34,4267,1846,366,25,12,10
Indianapolis Colts,white,003B7B,4094,1274,377,30,15,11
Jacksonville Jaguars,black,006778,3332,1774,302,29,13,4
Kansas City Chiefs,B20032,F2C800,3129,1810,291,10,13,16
Miami Dolphins,008D97,F5811F,3632,1897,345,40,18,12
Minnesota Vikings,3B0160,F0BF00,2956,2332,379,45,12,13
New England Patriots,0D254C,D6D6D6,3569,2278,410,31,13,17
New Orleans Saints,black,D2B887,4977,1594,463,28,15,7
New York Giants,192F45,white,3177,2518,427,42,17,5
New York Jets,0C371D,white,3303,2004,405,41,14,16
Oakland Raiders,black,C4C8CB,2369,1987,263,32,16,8
Philadelphia Eagles,003B48,white,3911,1697,416,48,15,14
Pittsburgh Steelers,black,FFB612,3301,1690,347,51,20,9
Saint Louis Rams,13264B,C9AF74,2947,1649,232,30,12,14
San Diego Chargers,0C2340,FFB81C,3858,1726,439,28,15,9
San Francisco 49ers,AF1E2C,E6BE8A,3379,1599,339,30,12,6
Seattle Seahawks,002244,69BE28,2617,1768,294,35,9,11
Tampa Bay Buccaneers,D60A0B,89765F,3619,1837,361,29,22,8
Tennessee Titans,0D254C,648FCC,2819,2199,375,44,20,11
Washington Redskins,773141,FFB612,3025,2095,265,24,13,5
