team,color1,color2,passing,rushing,points,sacks,ints,fumbles
Arizona Cardinals,9B2743,black,3005,1204,250,38,22,11
Atlanta Falcons,BD0D18,black,4509,1397,419,29,20,11
Baltimore Ravens,purple,black,3739,1901,398,37,13,12
Buffalo Bills,00338D,C60C30,3269,2217,344,36,12,9
Carolina Panthers,black,0088CE,3683,2088,357,39,11,12
Chicago Bears,03202F,DD4814,2999,1970,375,41,24,20
Cincinnati Bengals,FB4F14,black,3578,1745,391,51,14,16
Cleveland Browns,FE3C00,26201E,3435,1593,302,38,17,12
Dallas Cowboys,0D254C,C5CED6,4729,1265,376,34,7,9
Denver Broncos,FB4F14,002244,4534,1832,481,52,16,8
Detroit Lions,006DB0,white,4927,1613,372,34,11,6
Green Bay Packers,203731,FFB612,4049,1702,433,47,18,5
Houston Texans,02253A,B31B34,3830,2123,416,44,15,14
Indianapolis Colts,white,003B7B,4128,1671,357,32,12,3
Jacksonville Jaguars,black,006778,3419,1369,255,20,12,11
Kansas City Chiefs,B20032,F2C800,2713,2395,211,27,7,6
Miami Dolphins,008D97,F5811F,3182,1802,288,42,10,6
Minnesota Vikings,3B0160,F0BF00,2751,2634,379,44,10,12
New England Patriots,0D254C,D6D6D6,4662,2184,557,37,20,21
New Orleans Saints,black,D2B887,4997,1577,461,30,15,11
New York Giants,192F45,white,3825,1862,429,33,21,14
New York Jets,0C371D,white,2891,1896,281,30,11,12
Oakland Raiders,black,C4C8CB,4084,1420,290,25,11,8
Philadelphia Eagles,003B48,white,3791,1874,280,30,8,5
Pittsburgh Steelers,black,FFB612,3787,1537,336,37,10,10
Saint Louis Rams,13264B,C9AF74,3550,1714,299,52,17,4
San Diego Chargers,0C2340,FFB81C,3295,1461,350,38,14,14
San Francisco 49ers,AF1E2C,E6BE8A,3298,2491,397,38,14,11
Seattle Seahawks,002244,69BE28,3031,2579,412,36,18,13
Tampa Bay Buccaneers,D60A0B,89765F,3983,1837,389,27,18,8
Tennessee Titans,0D254C,648FCC,3323,1687,330,39,19,5
Washington Redskins,773141,FFB612,3422,2709,436,32,21,9
