team,color1,color2,passing,rushing,points,sacks,ints,fumbles
Arizona Cardinals,9B2743,black,4002,1540,379,47,20,11
Atlanta Falcons,BD0D18,black,4243,1247,353,32,10,13
Baltimore Ravens,purple,black,3590,1328,320,40,16,14
Buffalo Bills,00338D,C60C30,3103,2307,339,57,23,12
Carolina Panthers,black,0088CE,3043,2026,366,60,20,11
Chicago Bears,03202F,DD4814,4281,1828,445,31,19,19
Cincinnati Bengals,FB4F14,black,4136,1755,430,43,20,13
Cleveland Browns,FE3C00,26201E,4040,1383,308,40,14,8
Dallas Cowboys,0D254C,C5CED6,3954,1504,439,34,15,13
Denver Broncos,FB4F14,002244,5444,1873,606,41,17,16
Detroit Lions,006DB0,white,4482,1792,395,33,15,11
Green Bay Packers,203731,FFB612,4268,2136,417,44,11,16
Houston Texans,02253A,B31B34,3813,1743,276,32,7,10
Indianapolis Colts,white,003B7B,3725,1743,391,42,15,19
Jacksonville Jaguars,black,006778,3441,1260,247,31,11,15
Kansas City Chiefs,B20032,F2C800,3340,2056,430,47,21,13
Miami Dolphins,008D97,F5811F,3567,1440,317,42,18,10
Minnesota Vikings,3B0160,F0BF00,3427,2081,391,41,12,12
New England Patriots,0D254C,D6D6D6,4087,2065,444,48,17,11
New Orleans Saints,black,D2B887,4918,1473,414,49,12,13
New York Giants,192F45,white,3588,1332,294,34,17,15
New York Jets,0C371D,white,2932,2158,290,41,13,10
Oakland Raiders,black,C4C8CB,3340,2000,332,38,9,19
Philadelphia Eagles,003B48,white,4110,2566,442,37,19,13
Pittsburgh Steelers,black,FFB612,4017,1383,379,34,10,16
Saint Louis Rams,13264B,C9AF74,3125,1752,348,53,14,21
San Diego Chargers,0C2340,FFB81C,4328,1965,396,35,11,11
San Francisco 49ers,AF1E2C,E6BE8A,2979,2201,406,38,18,12
Seattle Seahawks,002244,69BE28,3236,2188,417,44,28,17
Tampa Bay Buccaneers,D60A0B,89765F,2820,1612,288,35,21,15
Tennessee Titans,0D254C,648FCC,3496,1894,362,36,13,14
Washington Redskins,773141,FFB612,3751,2164,334,36,16,12
