team,color1,color2,passing,rushing,points,sacks,ints,fumbles
Arizona Cardinals,9B2743,black,2921,1388,289,33,17,13
Atlanta Falcons,BD0D18,black,3567,1891,414,31,22,9
Baltimore Ravens,purple,black,3335,1831,357,27,19,8
Buffalo Bills,00338D,C60C30,3158,1720,283,27,11,11
Carolina Panthers,black,0088CE,2289,1846,196,31,17,13
Chicago Bears,03202F,DD4814,3015,1616,334,34,21,14
Cincinnati Bengals,FB4F14,black,3767,1522,322,27,16,10
Cleveland Browns,FE3C00,26201E,2989,1646,271,29,19,9
Dallas Cowboys,0D254C,C5CED6,4042,1786,394,35,20,10
Denver Broncos,FB4F14,002244,4038,1544,344,23,10,8
Detroit Lions,006DB0,white,3810,1613,362,44,14,15
Green Bay Packers,203731,FFB612,4124,1606,388,47,24,8
Houston Texans,02253A,B31B34,4144,2042,390,30,13,5
Indianapolis Colts,white,003B7B,4609,1483,435,30,10,11
Jacksonville Jaguars,black,006778,3065,2395,353,26,13,5
Kansas City Chiefs,B20032,F2C800,2968,2627,366,39,14,9
Miami Dolphins,008D97,F5811F,3527,1643,273,39,11,8
Minnesota Vikings,3B0160,F0BF00,3097,1942,281,31,15,10
New England Patriots,0D254C,D6D6D6,3847,1973,518,36,25,13
New Orleans Saints,black,D2B887,4441,1519,384,33,9,16
New York Giants,192F45,white,3885,2200,394,46,16,6
New York Jets,0C371D,white,3242,2374,367,40,12,18
Oakland Raiders,black,C4C8CB,3180,2494,410,47,12,12
Philadelphia Eagles,003B48,white,3906,2324,439,39,23,11
Pittsburgh Steelers,black,FFB612,3601,1924,375,48,21,14
Saint Louis Rams,13264B,C9AF74,3268,1578,289,43,14,12
San Diego Chargers,0C2340,FFB81C,4519,1810,441,47,16,6
San Francisco 49ers,AF1E2C,E6BE8A,3356,1657,305,36,15,7
Seattle Seahawks,002244,69BE28,3341,1424,310,37,12,10
Tampa Bay Buccaneers,D60A0B,89765F,3361,2001,341,26,19,9
Tennessee Titans,0D254C,648FCC,3107,1727,356,40,17,8
Washington Redskins,773141,FFB612,3931,1461,302,29,14,13
