Word,Rank
just,1
final,2
guy,3
study,4
girl,5
friend,5
ca,6
get,7
go,7
someone,7
wish,7
fuck,8
know,8
people,8
see,9
day,9
came,9
good,9
cute,9
week,9
want,9
got,9
make,9
find,9
real,9
