Word,Rank
get,1
fuck,2
run,3
nak,4
go,5
day,5
want,5
time,6
girl,6
love,6
think,6
back,7
everyone,7
new,7
hope,7
ca,8
how,8
say,8
start,8
same,8
sex,8
one,8
did,8
student,8
school,8
