Word,Rank
riddle,1
people,1
just,1
need,2
get,3
time,4
how,4
library,4
girl,5
really,5
one,5
fuck,6
i'll,6
know,6
paper,6
anyone,6
class,6
hunt,6
many,7
see,7
life,7
being,7
feel,7
back,7
study,7
