Word,Rank
get,1
want,2
anyone,3
just,3
finals,4
someone,5
final,5
got,5
trying,5
going,6
study,6
people,6
really,6
guys,6
looking,6
lol,6
shit,6
need,6
class,6
see,7
night,7
girl,7
every,7
feel,7
know,7
