Word,Rank
need,1
just,2
want,3
shit,3
sleep,4
eat,5
ass,5
time,6
finally,6
one,6
time,6
guy,7
girl,7
tired,7
way,7
feel,7
people,7
work,7
campus,7
how,7
wanna,7
say,7
come,7
study,7
nice,7
