Word,Rank
geisel,1
finals,1
ready,1
sleep,2
fuck,2
know,2
because,2
girl,3
yik,3
studying,3
yak,3
fucking,3
tomorrow,3
time,3
study,4
down,4
cute,4
tired,4
week,4
eat,4
floor,4
ass,5
going,5
said,5
help,5
