Word,Rank
anyone,1
get,2
ya,3
just,3
physics,4
down,4
want,4
got,4
dabs,5
alone,5
how,5
hit,5
through,5
semester,5
trying,5
guy,6
life,6
girl,6
know,6
hey,6
day,6
people,6
really,6
guys,6
getting,6
