Word,Rank
get,1
want,2
girl,3
how,3
ne,4
go,4
know,4
someone,4
good,4
fuck,5
man,5
anyone,5
credit,5
just,5
people,6
tell,6
think,6
still,7
feel,7
care,7
day,7
study,7
make,7
one,7
life,8
