Word,Rank
fuck,1
weed,2
want,2
smoke,2
anyone,2
girl,3
guy,3
people,3
feel,3
hard,3
someone,4
down,4
test,4
off,4
tonight,5
ucsc,5
how,5
around,5
ass,5
damn,5
ne,6
many,6
night,6
trump,6
know,6
