Word,Rank
geisel,1
finals,1
final,2
know,3
how,4
one,4
fuck,5
because,5
girl,6
yik,6
get,6
studying,6
yak,6
got,6
fucking,6
tomorrow,6
just,6
time,7
study,7
down,7
cute,7
tired,7
week,7
eat,7
floor,8
