Word,Rank
final,1
anyone,1
how,2
just,2
get,3
fuck,4
know,4
finals,4
someone,5
take,5
ass,5
post,6
eat,6
did,6
arc,7
feel,7
back,7
study,7
over,7
buy,8
parking,8
time,8
going,8
way,8
car,8
