Word,Rank
final,1
get,2
how,3
finals,4
people,5
anyone,5
just,5
guy,6
fuck,6
know,6
mchenry,6
girl,7
going,7
feel,7
week,7
want,7
lot,7
does,7
see,8
time,8
being,8
fucked,8
love,8
physics,8
good,8
