Word,Rank
finals,1
fuck,2
how,2
just,3
feel,3
know,3
hours,3
love,3
week,3
people,4
today,4
does,4
never,4
time,5
closed,5
studying,5
study,5
ucsb,5
good,5
sell,5
girlfriend,5
say,5
normal,5
take,5
friend,5
