Word,Rank
fuck,1
want,1
anyone,1
get,2
class,2
people,3
finals,3
just,3
girl,3
know,3
sex,3
stop,3
still,4
going,4
tutor,4
how,4
think,4
got,4
need,4
time,4
hot,4
wanna,4
guys,4
n,4
one,4
