Word,Rank
final,1
get,2
finals,2
anyone,3
fuck,4
how,4
just,4
feel,5
know,5
hours,5
love,5
week,5
iv,6
people,6
want,6
today,6
got,6
does,6
never,6
time,7
closed,7
studying,7
study,7
ucsb,7
good,7
