wkt_geom	MWShapeID	Lon	Lat	Tot_Deaths	Mar-2011	Apr-2011	May-2011	Jun-2011	Jul-2011	Aug-2011	Sep-2011	Oct-2011	Nov-2011	Dec-2011	Jan-2012	Feb-2012	Mar-2012	Apr-2012	May-2012	Jun-2012	Jul-2012	Aug-2012	Sep-2012	Oct-2012	Nov-2012	Dec-2012	Jan-2013	Feb-2013	Mar-2013	Apr-2013	May-2013	Jun-2013	Jul-2013	Aug-2013	Sep-2013	Oct-2013	Nov-2013	Dec-2013	Jan-2014	Feb-2014	Mar-2014	Apr-2014	May-2014	Jun-2014	Jul-2014	Aug-2014	Sep-2014	Oct-2014	Nov-2014	Dec-2014	Jan-2015	Feb-2015	Mar-2015	Apr-2015	May-2015	Jun-2015	Jul-2015	Aug-2015	Sep-2015	Oct-2015	Nov-2015	Dec-2015	Jan-2016	Feb-2016	Air	Artillery	Asphyxi	Beat_Stab	Burned	Chemical	Crushed	Gun_Shot	Mine	Missiles	Other	Outage	Sniper	Stress	Torture	Unspec	Wounds
Point (35.64999600000000157 33.08329899999999668)	0	33.363295	36.246371	247	0	1	1	7	7	1	4	1	0	3	0	2	4	0	3	1	5	10	0	9	6	14	1	9	7	2	9	6	12	8	31	1	1	4	1	0	1	4	4	4	0	2	0	0	1	0	2	1	15	24	0	5	4	5	0	0	2	1	1	0	4	81	0	0	0	0	0	102	0	0	0	0	5	0	46	1	2
Point (36.3193989999999971 33.56700200000000223)	0	33.466819	36.193743	1543	0	15	4	0	1	3	0	0	0	6	3	5	2	2	7	18	118	162	58	48	95	127	139	66	88	68	46	25	45	156	35	26	10	7	2	4	5	4	9	1	3	2	4	4	2	2	2	2	17	6	0	0	4	21	8	3	6	18	20	9	98	532	2	23	0	104	0	568	0	0	0	25	79	0	60	1	35
Point (36.52137299999999698 34.73053900000000027)	0	33.60018	36.310143	539	0	1	0	0	0	0	0	0	0	0	0	1	0	2	4	3	24	207	11	5	8	7	5	9	9	7	9	11	4	5	1	4	2	1	8	9	15	2	3	9	7	10	9	7	5	0	1	11	42	2	2	16	5	0	1	6	1	6	10	12	2	204	0	1	0	0	0	235	0	0	0	1	9	0	82	0	4
Point (36.113900000000001 32.66669900000000126)		0	33.573224	36.402411	6698	0	37	1	3	6	10	13	13	7	19	30	16	38	36	47	261	106	130	155	322	145	122	130	137	130	132	128	120	98	298	117	87	137	228	149	68	86	156	85	146	114	135	310	149	56	85	102	214	107	56	47	73	54	287	174	209	202	171	96	108	952	2528	5	36	1	160	1	2342	1	0	1	304	216	4	84	6	34
Point (36.69447900000000118 35.06470900000000057)	0	33.511057	36.388679	812	0	1	3	0	0	3	4	2	1	6	24	5	0	6	5	27	7	38	18	59	22	26	12	9	19	16	27	7	8	82	6	35	14	15	12	6	10	66	18	30	10	9	18	8	18	7	6	5	3	2	5	3	3	26	9	5	6	9	6	5	89	233	0	1	0	70	0	375	0	0	0	6	16	0	9	1	8
Point (36.04999800000000221 33.08329899999999668)	0	33.510628	36.371756	824	0	2	0	0	0	0	2	3	1	4	5	4	0	3	5	7	2	69	31	29	63	15	13	15	57	14	6	6	14	167	6	12	3	16	5	9	5	23	14	21	3	26	4	8	1	4	6	48	3	0	2	0	3	23	6	4	5	25	1	1	97	346	0	0	0	151	0	177	0	0	0	9	24	0	12	1	3
Point (36.88777000000000328 34.45703100000000063)	0	34.896174	36.493356	847	0	8	2	1	0	69	11	3	19	22	6	21	10	14	118	10	18	15	11	26	20	33	26	14	23	3	4	22	11	18	27	8	11	9	11	7	15	9	21	20	9	24	10	6	10	7	10	4	5	5	7	6	7	1	4	2	11	7	6	10	61	278	1	89	0	0	0	318	0	0	0	10	17	4	52	1	7
Point (36.14790899999999851 33.42327499999999674)	0	34.709308	36.687325	1287	0	25	14	1	4	21	32	27	53	82	26	519	152	10	4	15	4	3	16	5	7	7	11	7	57	17	17	12	3	7	13	9	16	0	11	5	9	3	5	9	4	5	5	2	3	2	0	0	6	4	0	0	0	2	1	3	0	7	3	2	10	151	0	24	1	0	1	993	0	0	0	0	23	1	63	2	8
Point (36.59471500000000077 32.5473920000000021)	0	32.852632	36.24192	144	0	34	4	0	0	0	0	0	0	0	5	0	0	3	2	4	6	1	1	7	0	10	2	13	0	3	2	3	1	3	1	0	2	1	0	5	2	1	0	1	0	2	0	0	1	1	3	0	13	2	3	1	0	0	0	0	0	1	0	0	0	17	0	0	0	0	0	93	0	0	0	0	3	0	30	0	0
Point (36.03329800000000205 32.83330000000000126)	0	32.753373	36.130215	483	0	9	13	2	1	0	1	6	1	4	5	9	5	3	7	13	19	20	11	4	11	5	14	6	31	5	4	2	2	5	18	11	11	3	6	3	8	8	11	6	22	8	2	1	16	21	10	8	5	26	5	5	9	3	6	7	13	5	2	6	71	183	0	0	0	0	0	172	1	0	0	1	13	1	29	0	5
